k_x	k_y	k_z	k_A	k_B	k_C	damp_t	damp_r	success	partialSuccess	
179.0	92.0	488.0	8.0	6.0	102.0	0.6	0.3	false	false
267.0	97.0	530.0	10.0	10.0	153.0	0.5	0.5	false	false
226.0	240.0	611.0	10.0	9.0	173.0	0.4	0.9	false	false
224.0	135.0	426.0	8.0	9.0	129.0	0.8	0.2	false	false
98.0	170.0	372.0	7.0	8.0	160.0	0.8	0.5	false	false
151.0	70.0	583.0	5.0	6.0	157.0	0.8	0.8	false	false
106.0	275.0	578.0	8.0	15.0	7.0	0.1	0.3	false	false
115.0	62.0	334.0	8.0	79.0	5.0	0.3	0.4	false	false
271.0	286.0	374.0	6.0	34.0	5.0	0.3	0.8	false	false
78.0	181.0	645.0	5.0	25.0	8.0	0.7	0.2	false	false
184.0	149.0	401.0	5.0	51.0	8.0	0.6	0.6	false	false
65.0	291.0	402.0	7.0	75.0	9.0	0.4	0.8	false	false
264.0	226.0	423.0	6.0	53.0	7.0	0.9	0.2	false	false
271.0	215.0	659.0	9.0	19.0	5.0	0.8	0.4	false	false
73.0	241.0	332.0	9.0	50.0	7.0	0.8	0.9	false	false
288.0	97.0	624.0	7.0	60.0	58.0	0.1	0.3	false	true
277.0	77.0	518.0	5.0	24.0	37.0	0.1	0.4	false	false
76.0	78.0	634.0	9.0	25.0	21.0	0.2	0.9	false	false
78.0	116.0	562.0	10.0	21.0	19.0	0.5	0.1	false	false
289.0	268.0	534.0	5.0	61.0	59.0	0.6	0.6	false	true
286.0	194.0	305.0	10.0	72.0	70.0	0.5	0.9	false	true
117.0	260.0	670.0	6.0	21.0	20.0	0.8	0.1	false	false
235.0	80.0	636.0	9.0	21.0	19.0	0.9	0.5	false	false
160.0	276.0	459.0	9.0	71.0	70.0	0.9	0.8	false	true
197.0	99.0	365.0	5.0	35.0	173.0	0.3	0.3	false	true
119.0	69.0	665.0	10.0	55.0	155.0	0.3	0.7	true	true
200.0	121.0	487.0	10.0	44.0	106.0	0.1	0.8	false	true
292.0	89.0	615.0	5.0	42.0	150.0	0.5	0.2	false	true
127.0	282.0	370.0	6.0	37.0	140.0	0.4	0.4	false	true
65.0	64.0	425.0	5.0	67.0	178.0	0.7	0.8	false	true
176.0	94.0	422.0	9.0	24.0	87.0	0.9	0.2	false	true
215.0	277.0	394.0	5.0	33.0	138.0	0.9	0.6	false	true
245.0	273.0	637.0	9.0	78.0	148.0	0.9	0.9	true	true
110.0	70.0	545.0	5.0	155.0	9.0	0.1	0.3	false	false
169.0	282.0	505.0	10.0	132.0	10.0	0.1	0.4	false	false
111.0	95.0	649.0	6.0	140.0	6.0	0.1	0.9	false	false
251.0	149.0	459.0	7.0	153.0	7.0	0.6	0.1	false	false
103.0	215.0	491.0	6.0	164.0	10.0	0.4	0.5	false	false
251.0	105.0	627.0	5.0	179.0	9.0	0.7	0.9	false	false
167.0	59.0	526.0	6.0	193.0	6.0	0.8	0.2	false	false
294.0	244.0	656.0	6.0	189.0	5.0	0.9	0.4	false	false
267.0	237.0	652.0	6.0	122.0	5.0	0.9	0.9	false	false
237.0	89.0	600.0	7.0	165.0	13.0	0.3	0.3	false	false
91.0	89.0	422.0	9.0	118.0	26.0	0.1	0.4	false	true
205.0	165.0	385.0	5.0	142.0	62.0	0.3	0.9	false	true
291.0	135.0	539.0	6.0	86.0	19.0	0.6	0.2	false	true
201.0	220.0	660.0	8.0	139.0	15.0	0.7	0.6	false	false
186.0	286.0	460.0	6.0	140.0	21.0	0.5	0.9	false	true
131.0	289.0	632.0	5.0	102.0	41.0	0.9	0.3	false	true
274.0	70.0	325.0	8.0	153.0	23.0	0.8	0.5	false	true
