k_x	k_y	k_z	k_A	k_B	k_C	damp_t	damp_r	success	partialSuccess	
246.0	61.0	593.0	79.0	9.0	200.0	0.3	0.5	false	true
268.0	295.0	598.0	17.0	10.0	200.0	0.1	0.8	true	true
266.0	157.0	653.0	26.0	7.0	91.0	0.4	0.1	false	true
178.0	146.0	493.0	74.0	8.0	97.0	0.7	0.6	false	true
72.0	274.0	326.0	56.0	6.0	149.0	0.4	0.8	false	false
259.0	273.0	480.0	14.0	5.0	167.0	0.8	0.3	false	true
231.0	226.0	334.0	73.0	8.0	101.0	0.8	0.5	false	false
195.0	52.0	377.0	12.0	8.0	184.0	0.8	0.8	false	true
154.0	225.0	615.0	36.0	22.0	6.0	0.2	0.2	false	false
261.0	189.0	306.0	51.0	60.0	6.0	0.3	0.5	false	false
239.0	241.0	396.0	51.0	49.0	8.0	0.1	0.9	false	false
293.0	79.0	666.0	52.0	79.0	6.0	0.6	0.2	false	false
113.0	144.0	374.0	23.0	77.0	10.0	0.5	0.5	false	false
244.0	122.0	465.0	56.0	42.0	10.0	0.5	0.8	false	false
293.0	279.0	458.0	73.0	12.0	6.0	0.9	0.2	false	false
288.0	156.0	636.0	14.0	13.0	7.0	0.8	0.5	false	false
175.0	212.0	401.0	27.0	58.0	10.0	0.9	0.9	false	false
107.0	284.0	619.0	43.0	43.0	53.0	0.2	0.1	false	true
149.0	152.0	544.0	13.0	11.0	66.0	0.1	0.5	false	true
150.0	103.0	412.0	56.0	42.0	11.0	0.1	0.9	false	false
101.0	161.0	628.0	53.0	37.0	49.0	0.6	0.1	false	true
294.0	219.0	530.0	51.0	38.0	50.0	0.6	0.7	false	true
119.0	282.0	504.0	66.0	38.0	49.0	0.5	0.8	false	true
138.0	164.0	630.0	68.0	78.0	78.0	0.9	0.1	false	true
232.0	65.0	573.0	62.0	61.0	71.0	0.8	0.5	false	true
246.0	56.0	680.0	54.0	53.0	12.0	0.8	0.8	false	false
147.0	299.0	505.0	24.0	23.0	165.0	0.3	0.2	false	true
94.0	264.0	490.0	55.0	16.0	128.0	0.1	0.5	false	true
223.0	254.0	360.0	54.0	53.0	165.0	0.2	0.8	false	true
98.0	121.0	649.0	67.0	18.0	100.0	0.4	0.2	true	true
169.0	95.0	493.0	17.0	16.0	189.0	0.4	0.4	false	true
254.0	218.0	346.0	12.0	53.0	148.0	0.6	0.8	false	true
147.0	136.0	401.0	14.0	14.0	105.0	0.9	0.3	false	true
222.0	245.0	336.0	56.0	28.0	82.0	0.9	0.7	false	true
275.0	70.0	444.0	12.0	66.0	175.0	0.9	0.9	false	true
133.0	184.0	509.0	12.0	197.0	5.0	0.1	0.1	false	false
104.0	181.0	504.0	43.0	157.0	7.0	0.3	0.4	false	false
288.0	293.0	384.0	80.0	191.0	6.0	0.2	0.8	false	false
277.0	289.0	566.0	80.0	178.0	10.0	0.5	0.2	false	false
